,regime,prob_bear,prob_bull,log_return,downside_dev,regime_label
1998-09-30,0,0.9999999531435314,4.6856468603443824e-08,0.06942102124340042,0.07309166367830294,Bear
1998-10-30,0,0.9999999981648475,1.8351524731370106e-09,0.04332765635332397,0.0795458123489569,Bear
1998-11-30,0,0.9999999992371018,7.628982950261884e-10,0.03895014819623056,0.0795458123489569,Bear
1998-12-31,0,0.9999999999999976,2.5403815083297154e-15,-0.028402210281778025,0.09790529484420273,Bear
1999-01-29,0,0.6088146219736456,0.39118537802635445,-0.03377335136613556,0.0037979702834588787,Bear
1999-02-26,1,0.05161308722966178,0.9483869127703383,0.0039050911946317602,0.0037979702834588787,Bull
1999-03-31,1,0.0023539545899870875,0.997646045410013,0.07572490004385932,0.0037979702834588787,Bull
1999-04-30,1,0.00039624406191662273,0.9996037559380834,0.008855617240464525,0.0037979702834588787,Bull
1999-05-28,1,0.00032000381270076353,0.9996799961872992,0.02803869160662781,0.0037979702834588787,Bull
1999-06-30,1,0.0005947277956650259,0.9994052722043348,-0.025406570391424705,0.0059162075639206365,Bull
1999-07-30,1,0.0013182929399341888,0.9986817070600658,-0.04139587966688154,0.011306149015164491,Bull
1999-08-31,1,0.0009489816072120729,0.999051018392788,-0.040545353498118594,0.008995963537623239,Bull
1999-09-30,1,0.00027415457894381225,0.9997258454210562,0.02725473092360126,0.008995963537623239,Bull
1999-10-29,1,0.0006953232428015194,0.9993046767571986,-0.0032952006781965327,0.017827208733943077,Bull
1999-11-30,1,6.984621088113262e-05,0.9999301537891189,0.01791862594213268,0.017827208733943077,Bull
1999-12-31,1,0.0012893233953643107,0.9987106766046356,-0.050337814828881555,0.02087426060318515,Bull
2000-01-31,1,0.0016762342850103152,0.9983237657149897,-0.0523885098534753,0.022823767652882337,Bull
2000-02-29,1,0.0013111084672166654,0.9986888915327833,0.11420803278010658,0.027770985764503795,Bull
2000-03-31,1,0.0010001326123553263,0.9989998673876447,0.013900166575931223,0.027770985764503795,Bull
2000-04-28,1,9.707821327940578e-05,0.9999029217867206,0.025772559504462604,0.0014500603580357488,Bull
2000-05-31,1,0.0005231577414634013,0.9994768422585366,-0.008349261824245962,0.024855245256239732,Bull
2000-06-30,1,0.000985697270466174,0.9990143027295338,-0.001344704864639985,0.027670649952969407,Bull
2000-07-31,1,0.0004970895890560192,0.9995029104109439,0.059629780350693246,0.004952969725344812,Bull
2000-08-31,1,0.00012435623522839278,0.9998756437647716,-0.0017924217854980839,0.003921233223007665,Bull
2000-09-29,1,0.00010286636590071305,0.9998971336340993,0.01146100663370456,0.003921233223007665,Bull
2000-10-31,1,0.000837021743755834,0.9991629782562441,-0.02901899935123011,0.01299566456760057,Bull
2000-11-30,1,0.00024664010279182226,0.9997533598972081,0.07330396073176614,0.015850097537631315,Bull
2000-12-29,1,0.0002300860524590506,0.999769913947541,0.011972901075043419,0.01925209762523064,Bull
2001-01-31,1,0.004538370414625838,0.9954616295853742,-0.019117757445914527,0.013780955294393887,Bull
2001-02-28,1,0.09577130245301536,0.9042286975469845,-0.04633576184409658,0.013776336099276554,Bull
2001-03-30,1,0.09966128076880744,0.9003387192311926,0.05793312742932694,0.013776336099276554,Bull
2001-04-30,1,0.09337802286316768,0.9066219771368322,0.03415607528286551,0.019246035480319806,Bull
2001-05-31,1,0.23945953780408988,0.7605404621959101,-0.007663758653973076,0.019864279844661607,Bull
2001-06-29,1,0.3839336700539019,0.6160663299460981,0.007501153004931573,0.019864279844661607,Bull
2001-07-31,1,0.4398407610622247,0.5601592389377753,-0.027938452470306095,0.01934359511689392,Bull
2001-08-31,0,0.9996286699204627,0.0003713300795371675,-0.0930962513630719,0.0446380121577757,Bear
2001-09-28,0,0.9991334311051788,0.0008665688948210898,0.015551762637098341,0.0446380121577757,Bear
2001-10-31,0,0.9997609770433349,0.00023902295666505469,0.07111520390292889,0.0446380121577757,Bear
2001-11-30,0,0.9997053886560981,0.00029461134390182733,0.03986712306960053,0.04607352144426402,Bear
2001-12-31,0,0.9997399631770775,0.0002600368229225436,0.0011167386184170716,0.04607352144426402,Bear
2002-01-31,0,0.8984334286525205,0.1015665713474794,0.0081052174347362,0.02767594718057183,Bear
2002-02-28,1,0.07145749928655543,0.9285425007134446,0.048467380413462664,0.013506049043904594,Bull
2002-03-28,1,0.0021446369555720855,0.9978553630444279,-0.003671102176165411,0.015064419120269446,Bull
2002-04-30,1,5.097190253829909e-05,0.9999490280974617,-0.012547407452492061,0.006276495652772506,Bull
2002-05-31,1,0.02342430026540736,0.9765756997345927,-0.0680510603419749,0.03489083760546629,Bull
2002-06-28,0,0.5696763487318061,0.430323651268194,-0.08960369848946781,0.041923365205160344,Bear
2002-07-31,0,0.7143860923164588,0.28561390768354117,0.008782665740521294,0.041923365205160344,Bear
2002-08-30,0,0.9954746266559118,0.004525373344088135,-0.0779638117328289,0.039448247646496584,Bear
2002-09-30,0,0.9091110007345394,0.09088899926546051,0.043538101309680326,0.03415149976743432,Bear
2002-10-31,1,0.00899864957600506,0.991001350423995,0.04655043185001392,0.010787846672382632,Bull
2002-11-29,1,0.011442497250710351,0.9885575027492897,-0.021895980754240655,0.036201803995712954,Bull
2002-12-31,1,0.016999911135489414,0.9830000888645105,-0.025136497583921433,0.03147704915266133,Bull
2003-01-31,1,0.015998174284857475,0.9840018257151425,-0.026289939557650233,0.026826066471630206,Bull
2003-02-28,1,0.016447423041349194,0.983552576958651,0.0162287340814369,0.0022780931966692483,Bull
2003-03-31,1,0.028159544746621277,0.9718404552533787,0.06642755185199076,0.0022780931966692483,Bull
2003-04-30,1,0.14239841778438458,0.8576015822156154,0.06645751915710564,0.0022780931966692483,Bull
2003-05-30,1,0.2562616617071056,0.7437383382928944,0.01278624772077058,0.0008156066413288305,Bull
2003-06-30,1,0.024164192220465845,0.9758358077795342,0.02751105891946401,0.01770501047894168,Bull
2003-07-31,1,0.0016122649348137312,0.9983877350651863,0.028482920887117808,0.012064925075634631,Bull
2003-08-29,1,0.0006062360000748981,0.9993937639999251,-0.006952173903235798,0.01464634882496471,Bull
2003-09-30,1,7.719164446908585e-05,0.9999228083555309,0.061268893477333226,0.014074715885674811,Bull
2003-10-31,1,5.0941041423497674e-05,0.9999490589585764,0.025789910623096556,0.011190181846732884,Bull
2003-11-28,1,4.9181660462747714e-05,0.9999508183395373,0.030148225513628033,0.010811878378590727,Bull
2003-12-31,1,6.772761162732249e-07,0.9999993227238837,0.011002609591352552,0.011339198999225322,Bull
2004-01-30,1,5.905700262581746e-07,0.9999994094299737,0.027400960402890872,0.011324517240898085,Bull
2004-02-27,1,7.134598646608074e-07,0.9999992865401354,0.002350104855921998,0.010116096040519005,Bull
2004-03-31,1,2.0405773681352196e-08,0.9999999795942264,-0.01534708107655304,0.00889981296646613,Bull
2004-04-30,1,3.709687199760736e-10,0.9999999996290313,0.013126424705286943,0.008390348384687604,Bull
2004-05-28,1,3.294211442258842e-10,0.9999999996705788,0.019793701008520917,0.007449894395299255,Bull
2004-06-30,1,0.0010421259194973848,0.9989578740805027,-0.03558504633880699,0.014310402474357555,Bull
2004-07-30,1,0.000389321501856133,0.9996106784981438,0.008015542866700665,0.014310402474357555,Bull
2004-08-31,1,9.703501460153998e-05,0.9999029649853985,0.023391961652324097,0.014310402474357555,Bull
2004-09-30,1,5.769368769009633e-05,0.99994230631231,0.011583525044229933,0.010735379563819205,Bull
2004-10-29,1,7.136360915215935e-05,0.9999286363908478,0.04991214075751862,0.013971184348203169,Bull
2004-11-30,1,0.00035064572255507145,0.9996493542774448,0.03439361793925691,0.014635929286672367,Bull
2004-12-31,1,0.001489432149367648,0.9985105678506324,-0.016305081916607508,0.011472611189107,Bull
2005-01-31,1,0.00013862220711880974,0.9998613777928812,0.01559303876893403,0.011228076281890206,Bull
2005-02-28,1,0.00994288117437668,0.9900571188256233,-0.014210106836079529,0.0014813710858581676,Bull
2005-03-31,1,0.0017686811027651103,0.9982313188972349,-0.02404135390145592,0.005178356297643353,Bull
2005-04-29,1,0.0005925367847037811,0.9994074632152962,0.03183645108990037,0.005178356297643353,Bull
2005-05-31,1,0.003862084379253794,0.9961379156207462,0.013887616821483616,0.005178356297643353,Bull
2005-06-30,1,0.001625691881242994,0.9983743081187569,0.03619672808995923,0.00695174146744799,Bull
2005-07-29,1,0.00260651276235685,0.9973934872376431,-0.011844439756182944,0.00646805630593584,Bull
2005-08-31,1,0.0008722960183841752,0.9991277039816158,0.0004449993711378175,0.008624520701672644,Bull
2005-09-30,1,0.007984475428978993,0.9920155245710209,-0.019847027965889358,0.005658684390126918,Bull
2005-10-31,1,0.043355861516489264,0.9566441384835107,0.036243419467973846,0.005658684390126918,Bull
2005-11-30,1,0.09265520274453867,0.9073447972554614,0.00026649432573819443,0.005658684390126918,Bull
2005-12-30,1,0.11928630374676355,0.8807136962532365,0.025951012446920673,0.005658684390126918,Bull
2006-01-31,1,0.013188406348345269,0.9868115936516547,0.004486655498486225,0.010061264511542808,Bull
2006-02-28,1,0.0027505243379962016,0.9972494756620038,0.01456688062300759,0.009948688484420607,Bull
2006-03-31,1,0.005847618315275799,0.9941523816847242,-0.00034374597240587626,0.007488122498490214,Bull
2006-04-28,1,0.018577769118298164,0.9814222308817019,-0.0241792725478946,0.016854262474680245,Bull
2006-05-31,1,0.0015522582519779135,0.9984477417480221,-0.0037549133478973454,0.012890066192776507,Bull
2006-06-30,1,0.00826496725357303,0.991735032746427,-0.004237144778557911,0.01083975092007027,Bull
2006-07-31,1,0.011929700804999726,0.9880702991950003,0.02229545671724151,0.01083975092007027,Bull
2006-08-31,1,0.013511756724372763,0.9864882432756272,0.019748519339734854,0.01083975092007027,Bull
2006-09-29,1,0.014458031321317788,0.9855419686786822,0.026180833358515235,0.011655295333393736,Bull
2006-10-31,1,6.651049883353608e-05,0.9999334895011665,0.017977599034944322,0.0003409891147213762,Bull
